DEBUG: General     , 1685430376916> 1.888.296> LoggerManager.init                  > Initializing...
LOG  : General     , 1685430379416> 1.890.791> Workshop: 2875848298 installed to /home/sergio/Code/PZServer/steamapps/workshop/content/108600/2875848298
LOG  : General     , 1685430379416> 1.890.791> Workshop: 2487022075 installed to /home/sergio/Code/PZServer/steamapps/workshop/content/108600/2487022075
LOG  : General     , 1685430379416> 1.890.791> Workshop: 2648779556 installed to /home/sergio/Code/PZServer/steamapps/workshop/content/108600/2648779556
LOG  : General     , 1685430379417> 1.890.791> Workshop: 2912999938 installed to /home/sergio/Code/PZServer/steamapps/workshop/content/108600/2912999938
LOG  : General     , 1685430379417> 1.890.792> Workshop: 2392709985 installed to /home/sergio/Code/PZServer/steamapps/workshop/content/108600/2392709985
LOG  : General     , 1685430379419> 1.890.794> Start making backup to: /home/sergio/Zomboid/backups/startup
LOG  : General     , 1685430379603> 1.890.978> compressionElapsed=89ms, mergingElapsed=90ms
LOG  : General     , 1685430379622> 1.890.997> Backup made in 203 ms
LOG  : General     , 1685430379625> 1.891.000> user database "/home/sergio/Zomboid/db/zehio.db"
LOG  : General     , 1685430379695> 1.891.070> Router detection/configuration starting.
LOG  : General     , 1685430379696> 1.891.070> If the server hangs here, set UPnP=false.
LOG  : Network     , 1685430391706> 1.903.081> No UPnP-enabled Internet gateway found, you must configure port forwarding on your gateway manually in order to make your server accessible from the Internet.
LOG  : Network     , 1685430391707> 1.903.082> Initialising Server Systems...
LOG  : Mod         , 1685430391818> 1.903.193> refusing to list examplemod
LOG  : Mod         , 1685430391823> 1.903.198> loading EQUIPMENT_UI
LOG  : Mod         , 1685430391823> 1.903.198> mod "EQUIPMENT_UI" overrides media/lua/shared/translate/fr/ui_fr.txt
LOG  : Mod         , 1685430391824> 1.903.198> mod "EQUIPMENT_UI" overrides media/lua/shared/translate/pl/ui_pl.txt
LOG  : Mod         , 1685430391824> 1.903.198> mod "EQUIPMENT_UI" overrides media/lua/shared/translate/ru/ui_ru.txt
LOG  : Mod         , 1685430391824> 1.903.199> mod "EQUIPMENT_UI" overrides media/lua/shared/translate/cn/ui_cn.txt
LOG  : Mod         , 1685430391824> 1.903.199> mod "EQUIPMENT_UI" overrides media/lua/shared/translate/ptbr/ui_ptbr.txt
LOG  : Mod         , 1685430391824> 1.903.199> mod "EQUIPMENT_UI" overrides media/lua/shared/translate/es/ui_es.txt
LOG  : Mod         , 1685430391824> 1.903.199> mod "EQUIPMENT_UI" overrides media/lua/shared/translate/th/ui_th.txt
LOG  : Mod         , 1685430391824> 1.903.199> mod "EQUIPMENT_UI" overrides media/lua/shared/translate/en/ui_en.txt
LOG  : Mod         , 1685430391824> 1.903.199> loading BB_CommonSense
LOG  : Mod         , 1685430391825> 1.903.200> mod "BB_CommonSense" overrides media/lua/shared/translate/fr/contextmenu_fr.txt
LOG  : Mod         , 1685430391825> 1.903.200> mod "BB_CommonSense" overrides media/lua/shared/translate/fr/ig_ui_fr.txt
LOG  : Mod         , 1685430391825> 1.903.200> mod "BB_CommonSense" overrides media/lua/shared/translate/fr/recipes_fr.txt
LOG  : Mod         , 1685430391825> 1.903.200> mod "BB_CommonSense" overrides media/lua/shared/translate/it/ig_ui_it.txt
LOG  : Mod         , 1685430391825> 1.903.200> mod "BB_CommonSense" overrides media/lua/shared/translate/it/contextmenu_it.txt
LOG  : Mod         , 1685430391825> 1.903.200> mod "BB_CommonSense" overrides media/lua/shared/translate/it/recipes_it.txt
LOG  : Mod         , 1685430391825> 1.903.200> mod "BB_CommonSense" overrides media/lua/shared/translate/pl/ig_ui_pl.txt
LOG  : Mod         , 1685430391825> 1.903.200> mod "BB_CommonSense" overrides media/lua/shared/translate/pl/contextmenu_pl.txt
LOG  : Mod         , 1685430391825> 1.903.200> mod "BB_CommonSense" overrides media/lua/shared/translate/pl/recipes_pl.txt
LOG  : Mod         , 1685430391826> 1.903.200> mod "BB_CommonSense" overrides media/lua/shared/translate/ru/ig_ui_ru.txt
LOG  : Mod         , 1685430391826> 1.903.200> mod "BB_CommonSense" overrides media/lua/shared/translate/ru/recipes_ru.txt
LOG  : Mod         , 1685430391826> 1.903.200> mod "BB_CommonSense" overrides media/lua/shared/translate/ru/contextmenu_ru.txt
LOG  : Mod         , 1685430391826> 1.903.201> mod "BB_CommonSense" overrides media/lua/shared/translate/ch/contextmenu_ch.txt
LOG  : Mod         , 1685430391826> 1.903.201> mod "BB_CommonSense" overrides media/lua/shared/translate/ch/ig_ui_ch.txt
LOG  : Mod         , 1685430391826> 1.903.201> mod "BB_CommonSense" overrides media/lua/shared/translate/ch/recipes_ch.txt
LOG  : Mod         , 1685430391826> 1.903.201> mod "BB_CommonSense" overrides media/lua/shared/translate/ptbr/recipes_ptbr.txt
LOG  : Mod         , 1685430391826> 1.903.201> mod "BB_CommonSense" overrides media/lua/shared/translate/ptbr/ig_ui_ptbr.txt
LOG  : Mod         , 1685430391826> 1.903.201> mod "BB_CommonSense" overrides media/lua/shared/translate/ptbr/contextmenu_ptbr.txt
LOG  : Mod         , 1685430391826> 1.903.201> mod "BB_CommonSense" overrides media/lua/shared/translate/pt/recipes_pt.txt
LOG  : Mod         , 1685430391826> 1.903.201> mod "BB_CommonSense" overrides media/lua/shared/translate/pt/ig_ui_pt.txt
LOG  : Mod         , 1685430391826> 1.903.201> mod "BB_CommonSense" overrides media/lua/shared/translate/pt/contextmenu_pt.txt
LOG  : Mod         , 1685430391826> 1.903.201> mod "BB_CommonSense" overrides media/lua/shared/translate/es/recipes_es.txt
LOG  : Mod         , 1685430391826> 1.903.201> mod "BB_CommonSense" overrides media/lua/shared/translate/es/ig_ui_es.txt
LOG  : Mod         , 1685430391827> 1.903.201> mod "BB_CommonSense" overrides media/lua/shared/translate/es/contextmenu_es.txt
LOG  : Mod         , 1685430391827> 1.903.201> mod "BB_CommonSense" overrides media/lua/shared/translate/jp/recipes_jp.txt
LOG  : Mod         , 1685430391827> 1.903.202> mod "BB_CommonSense" overrides media/lua/shared/translate/jp/ig_ui_jp.txt
LOG  : Mod         , 1685430391827> 1.903.202> mod "BB_CommonSense" overrides media/lua/shared/translate/jp/contextmenu_jp.txt
LOG  : Mod         , 1685430391827> 1.903.202> mod "BB_CommonSense" overrides media/lua/shared/translate/de/contextmenu_de.txt
LOG  : Mod         , 1685430391827> 1.903.202> mod "BB_CommonSense" overrides media/lua/shared/translate/de/ig_ui_de.txt
LOG  : Mod         , 1685430391827> 1.903.202> mod "BB_CommonSense" overrides media/lua/shared/translate/de/recipes_de.txt
LOG  : Mod         , 1685430391827> 1.903.202> mod "BB_CommonSense" overrides media/lua/shared/translate/en/recipes_en.txt
LOG  : Mod         , 1685430391827> 1.903.202> mod "BB_CommonSense" overrides media/lua/shared/translate/en/ig_ui_en.txt
LOG  : Mod         , 1685430391827> 1.903.202> mod "BB_CommonSense" overrides media/lua/shared/translate/en/contextmenu_en.txt
LOG  : Mod         , 1685430391827> 1.903.202> loading MoreDescriptionForTraits4166
LOG  : Mod         , 1685430391828> 1.903.202> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/tr/ui_tr.txt
LOG  : Mod         , 1685430391828> 1.903.203> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/fr/ig_ui_fr.txt
LOG  : Mod         , 1685430391828> 1.903.203> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/fr/ui_fr.txt
LOG  : Mod         , 1685430391828> 1.903.203> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/ko/ui_ko.txt
LOG  : Mod         , 1685430391828> 1.903.203> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/ru/ig_ui_ru.txt
LOG  : Mod         , 1685430391828> 1.903.203> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/ru/ui_ru.txt
LOG  : Mod         , 1685430391828> 1.903.203> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/cn/ui_cn.txt
LOG  : Mod         , 1685430391828> 1.903.203> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/cn/ig_ui_cn.txt
LOG  : Mod         , 1685430391828> 1.903.203> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/ch/ig_ui_ch.txt
LOG  : Mod         , 1685430391828> 1.903.203> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/ch/ui_ch.txt
LOG  : Mod         , 1685430391828> 1.903.203> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/ptbr/ui_ptbr.txt
LOG  : Mod         , 1685430391828> 1.903.203> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/ptbr/ig_ui_ptbr.txt
LOG  : Mod         , 1685430391828> 1.903.203> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/es/ui_es.txt
LOG  : Mod         , 1685430391829> 1.903.203> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/de/ui_de.txt
LOG  : Mod         , 1685430391829> 1.903.203> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/en/ui_en.txt
LOG  : Mod         , 1685430391829> 1.903.203> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/en/ig_ui_en.txt
LOG  : Mod         , 1685430391829> 1.903.204> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/ua/ig_ui_ua.txt
LOG  : Mod         , 1685430391829> 1.903.204> mod "MoreDescriptionForTraits4166" overrides media/lua/shared/translate/ua/ui_ua.txt
LOG  : Mod         , 1685430391829> 1.903.204> loading Named Literature
LOG  : Mod         , 1685430391829> 1.903.204> mod "Named Literature" overrides media/lua/shared/translate/en/itemname_en.txt
LOG  : Mod         , 1685430391829> 1.903.204> mod "Named Literature" overrides media/lua/shared/translate/en/sandbox_en.txt
LOG  : Mod         , 1685430391830> 1.903.204> mod "Named Literature" overrides media/lua/shared/translate/en/ig_ui_en.txt
LOG  : Mod         , 1685430391831> 1.903.206> loading tsarslib
LOG  : Mod         , 1685430391836> 1.903.211> mod "tsarslib" overrides media/lua/shared/translate/fr/contextmenu_fr.txt
LOG  : Mod         , 1685430391836> 1.903.211> mod "tsarslib" overrides media/lua/shared/translate/fr/ig_ui_fr.txt
LOG  : Mod         , 1685430391836> 1.903.211> mod "tsarslib" overrides media/lua/shared/translate/it/ig_ui_it.txt
LOG  : Mod         , 1685430391836> 1.903.211> mod "tsarslib" overrides media/lua/shared/translate/it/itemname_it.txt
LOG  : Mod         , 1685430391836> 1.903.211> mod "tsarslib" overrides media/lua/shared/translate/it/tooltip_it.txt
LOG  : Mod         , 1685430391836> 1.903.211> mod "tsarslib" overrides media/lua/shared/translate/it/contextmenu_it.txt
LOG  : Mod         , 1685430391836> 1.903.211> mod "tsarslib" overrides media/lua/shared/translate/it/recipes_it.txt
LOG  : Mod         , 1685430391836> 1.903.211> mod "tsarslib" overrides media/lua/shared/translate/pl/ig_ui_pl.txt
LOG  : Mod         , 1685430391836> 1.903.211> mod "tsarslib" overrides media/lua/shared/translate/pl/contextmenu_pl.txt
LOG  : Mod         , 1685430391836> 1.903.211> mod "tsarslib" overrides media/lua/shared/translate/pl/items_pl.txt
LOG  : Mod         , 1685430391836> 1.903.211> mod "tsarslib" overrides media/lua/shared/translate/pl/tooltip_pl.txt
LOG  : Mod         , 1685430391837> 1.903.211> mod "tsarslib" overrides media/lua/shared/translate/pl/recipes_pl.txt
LOG  : Mod         , 1685430391837> 1.903.211> mod "tsarslib" overrides media/lua/shared/translate/ru/ig_ui_ru.txt
LOG  : Mod         , 1685430391837> 1.903.211> mod "tsarslib" overrides media/lua/shared/translate/ru/recipes_ru.txt
LOG  : Mod         , 1685430391837> 1.903.212> mod "tsarslib" overrides media/lua/shared/translate/ru/itemname_ru.txt
LOG  : Mod         , 1685430391837> 1.903.212> mod "tsarslib" overrides media/lua/shared/translate/ru/contextmenu_ru.txt
LOG  : Mod         , 1685430391837> 1.903.212> mod "tsarslib" overrides media/lua/shared/translate/ru/tooltip_ru.txt
LOG  : Mod         , 1685430391837> 1.903.212> mod "tsarslib" overrides media/lua/shared/translate/ru/recorded_media_ru.txt
LOG  : Mod         , 1685430391837> 1.903.212> mod "tsarslib" overrides media/lua/shared/translate/cn/tooltip_cn.txt
LOG  : Mod         , 1685430391837> 1.903.212> mod "tsarslib" overrides media/lua/shared/translate/cn/itemname_cn.txt
LOG  : Mod         , 1685430391837> 1.903.212> mod "tsarslib" overrides media/lua/shared/translate/cn/contextmenu_cn.txt
LOG  : Mod         , 1685430391837> 1.903.212> mod "tsarslib" overrides media/lua/shared/translate/cn/recipes_cn.txt
LOG  : Mod         , 1685430391837> 1.903.212> mod "tsarslib" overrides media/lua/shared/translate/cn/ig_ui_cn.txt
LOG  : Mod         , 1685430391837> 1.903.212> mod "tsarslib" overrides media/lua/shared/translate/ptbr/recipes_ptbr.txt
LOG  : Mod         , 1685430391837> 1.903.212> mod "tsarslib" overrides media/lua/shared/translate/ptbr/ig_ui_ptbr.txt
LOG  : Mod         , 1685430391837> 1.903.212> mod "tsarslib" overrides media/lua/shared/translate/ptbr/itemname_ptbr.txt
LOG  : Mod         , 1685430391837> 1.903.212> mod "tsarslib" overrides media/lua/shared/translate/ptbr/contextmenu_ptbr.txt
LOG  : Mod         , 1685430391837> 1.903.212> mod "tsarslib" overrides media/lua/shared/translate/ptbr/tooltip_ptbr.txt
LOG  : Mod         , 1685430391838> 1.903.212> mod "tsarslib" overrides media/lua/shared/translate/es/itemname_es.txt
LOG  : Mod         , 1685430391838> 1.903.212> mod "tsarslib" overrides media/lua/shared/translate/es/recipes_es.txt
LOG  : Mod         , 1685430391838> 1.903.213> mod "tsarslib" overrides media/lua/shared/translate/es/tooltip_es.txt
LOG  : Mod         , 1685430391838> 1.903.213> mod "tsarslib" overrides media/lua/shared/translate/es/ig_ui_es.txt
LOG  : Mod         , 1685430391838> 1.903.213> mod "tsarslib" overrides media/lua/shared/translate/es/contextmenu_es.txt
LOG  : Mod         , 1685430391838> 1.903.213> mod "tsarslib" overrides media/lua/shared/translate/de/contextmenu_de.txt
LOG  : Mod         , 1685430391838> 1.903.213> mod "tsarslib" overrides media/lua/shared/translate/de/itemname_de.txt
LOG  : Mod         , 1685430391838> 1.903.213> mod "tsarslib" overrides media/lua/shared/translate/de/ig_ui_de.txt
LOG  : Mod         , 1685430391838> 1.903.213> mod "tsarslib" overrides media/lua/shared/translate/de/tooltip_de.txt
LOG  : Mod         , 1685430391838> 1.903.213> mod "tsarslib" overrides media/lua/shared/translate/de/recipes_de.txt
LOG  : Mod         , 1685430391838> 1.903.213> mod "tsarslib" overrides media/lua/shared/translate/en/recipes_en.txt
LOG  : Mod         , 1685430391838> 1.903.213> mod "tsarslib" overrides media/lua/shared/translate/en/tooltip_en.txt
LOG  : Mod         , 1685430391838> 1.903.213> mod "tsarslib" overrides media/lua/shared/translate/en/itemname_en.txt
LOG  : Mod         , 1685430391838> 1.903.213> mod "tsarslib" overrides media/lua/shared/translate/en/ig_ui_en.txt
LOG  : Mod         , 1685430391838> 1.903.213> mod "tsarslib" overrides media/lua/shared/translate/en/recorded_media_en.txt
LOG  : Mod         , 1685430391838> 1.903.213> mod "tsarslib" overrides media/lua/shared/translate/en/contextmenu_en.txt
LOG  : Mod         , 1685430391840> 1.903.215> loading TMC_TrueActions
LOG  : Mod         , 1685430391840> 1.903.215> mod "TMC_TrueActions" overrides preview.png
LOG  : Mod         , 1685430391841> 1.903.216> mod "TMC_TrueActions" overrides changelog.txt
LOG  : Mod         , 1685430391842> 1.903.216> loading TrueActionsDancing
LOG  : Mod         , 1685430391842> 1.903.217> mod "TrueActionsDancing" overrides preview.png
LOG  : Mod         , 1685430391844> 1.903.219> mod "TrueActionsDancing" overrides media/lua/shared/translate/fr/tooltip_fr.txt
LOG  : Mod         , 1685430391844> 1.903.219> mod "TrueActionsDancing" overrides media/lua/shared/translate/fr/itemname_fr.txt
LOG  : Mod         , 1685430391844> 1.903.219> mod "TrueActionsDancing" overrides media/lua/shared/translate/fr/ig_ui_fr.txt
LOG  : Mod         , 1685430391844> 1.903.219> mod "TrueActionsDancing" overrides media/lua/shared/translate/fr/recipes_fr.txt
LOG  : Mod         , 1685430391844> 1.903.219> mod "TrueActionsDancing" overrides media/lua/shared/translate/ru/ig_ui_ru.txt
LOG  : Mod         , 1685430391844> 1.903.219> mod "TrueActionsDancing" overrides media/lua/shared/translate/ru/recipes_ru.txt
LOG  : Mod         , 1685430391844> 1.903.219> mod "TrueActionsDancing" overrides media/lua/shared/translate/ru/itemname_ru.txt
LOG  : Mod         , 1685430391844> 1.903.219> mod "TrueActionsDancing" overrides media/lua/shared/translate/ru/tooltip_ru.txt
LOG  : Mod         , 1685430391844> 1.903.219> mod "TrueActionsDancing" overrides media/lua/shared/translate/en/recipes_en.txt
LOG  : Mod         , 1685430391844> 1.903.219> mod "TrueActionsDancing" overrides media/lua/shared/translate/en/tooltip_en.txt
LOG  : Mod         , 1685430391844> 1.903.219> mod "TrueActionsDancing" overrides media/lua/shared/translate/en/itemname_en.txt
LOG  : Mod         , 1685430391844> 1.903.219> mod "TrueActionsDancing" overrides media/lua/shared/translate/en/ig_ui_en.txt
LOG  : Mod         , 1685430391846> 1.903.221> mod "TrueActionsDancing" overrides media/animsets/player/emote/looped.xml
LOG  : Mod         , 1685430391849> 1.903.224> mod "TrueActionsDancing" overrides changelog.txt
LOG  : Mod         , 1685430391849> 1.903.224> loading TrueActions4Talking
LOG  : Mod         , 1685430391849> 1.903.224> mod "TrueActions4Talking" overrides preview.png
LOG  : Mod         , 1685430391849> 1.903.224> mod "TrueActions4Talking" overrides media/lua/shared/translate/ru/ui_ru.txt
LOG  : Mod         , 1685430391849> 1.903.224> mod "TrueActions4Talking" overrides media/lua/shared/translate/en/ui_en.txt
LOG  : Mod         , 1685430391850> 1.903.224> mod "TrueActions4Talking" overrides changelog.txt
LOG  : Lua         , 1685430392183> 1.903.558> Loading: media/lua/shared/Sandbox/Apocalypse.lua
LOG  : General     , 1685430392870> 1.904.245> adding unknown item param "ataProtection" = "TireFrontLeft;TireFrontRight;TireRearLeft;TireRearRight"
LOG  : General     , 1685430392897> 1.904.272> scriptChecksum: 63e1f3656fa1f99a5d6002fec7ccff84
WARN : Recipe      , 1685430392901> 1.904.276> RecipeManager.resolveItemModuleDotType> WARNING: module "Base" may have forgot to import module Base
WARN : Script      , 1685430392904> 1.904.279> ModelScript.check> no such model "null" for Base.BareHands
WARN : Script      , 1685430392904> 1.904.279> ModelScript.check> no such model "???.DisposableRazor" for Base.Razor
WARN : Script      , 1685430392907> 1.904.282> ModelScript.check> no such model "Chainsaw" for Base.Chainsaw
WARN : Script      , 1685430392908> 1.904.283> ModelScript.checkMesh> no such mesh "WorldItems/ATA_Muscle_items|ATAMustangFendersWideWorld" for ATA2.ATAFendersWideWorld
WARN : Script      , 1685430392909> 1.904.283> ModelScript.checkMesh> no such mesh "WorldItems/ATA_Muscle_items|ATAMustangBullbar1World" for ATA2.ATABullbar1World
WARN : Script      , 1685430392909> 1.904.283> ModelScript.checkMesh> no such mesh "WorldItems/ATA_Muscle_items|ATAMustangSpoilerRear2World" for ATA2.ATASpoilerRear2World
WARN : Script      , 1685430392909> 1.904.284> ModelScript.checkMesh> no such mesh "WorldItems/ATA_Muscle_items|ATAMustangSpoilerFrontWorld" for ATA2.ATASpoilerFrontWorld
WARN : Script      , 1685430392909> 1.904.284> ModelScript.checkMesh> no such mesh "WorldItems/ATA_Muscle_items|ATAMustangSkirtsSideWorld" for ATA2.ATASkirtsSideWorld
WARN : Script      , 1685430392909> 1.904.284> ModelScript.checkMesh> no such mesh "WorldItems/ATA_Muscle_items|ATAMustangBullbar1World" for ATA2.ATABullbar1World
WARN : Script      , 1685430392909> 1.904.284> ModelScript.checkMesh> no such mesh "WorldItems/ATA_Muscle_items|ATAMustangBullbar2World" for ATA2.ATABullbar2World
WARN : Script      , 1685430392909> 1.904.284> ModelScript.checkMesh> no such mesh "WorldItems/ATA_Muscle_items|ATAMustangSpoilerRear1World" for ATA2.ATASpoilerRear1World
LOG  : General     , 1685430393156> 1.904.531> LOADING ASSETS: START
ERROR: General     , 1685430398104> 1.909.479> ImportedSkeleton.collectBoneFrames> Could not find bone index for node name: "Body"
ERROR: General     , 1685430398113> 1.909.488> ImportedSkeleton.collectBoneFrames> Could not find bone index for node name: "Body"
ERROR: General     , 1685430398115> 1.909.490> ImportedSkeleton.collectBoneFrames> Could not find bone index for node name: "Body"
ERROR: General     , 1685430398115> 1.909.490> ImportedSkeleton.collectBoneFrames> Could not find bone index for node name: "Body"
ERROR: General     , 1685430398119> 1.909.494> ImportedSkeleton.collectBoneFrames> Could not find bone index for node name: "Body"
ERROR: General     , 1685430398127> 1.909.502> ImportedSkeleton.collectBoneFrames> Could not find bone index for node name: "Body"
ERROR: General     , 1685430398129> 1.909.504> ImportedSkeleton.collectBoneFrames> Could not find bone index for node name: "Body"
ERROR: General     , 1685430398133> 1.909.508> ImportedSkeleton.collectBoneFrames> Could not find bone index for node name: "Body"
ERROR: General     , 1685430398142> 1.909.517> ImportedSkeleton.collectBoneFrames> Could not find bone index for node name: "Body"
ERROR: General     , 1685430398143> 1.909.518> ImportedSkeleton.collectBoneFrames> Could not find bone index for node name: "Body"
ERROR: General     , 1685430398144> 1.909.519> ImportedSkeleton.collectBoneFrames> Could not find bone index for node name: "Body"
ERROR: General     , 1685430398147> 1.909.521> ImportedSkeleton.collectBoneFrames> Could not find bone index for node name: "Body"
ERROR: General     , 1685430398157> 1.909.532> ImportedSkeleton.collectBoneFrames> Could not find bone index for node name: "Body"
ERROR: General     , 1685430398162> 1.909.536> ImportedSkeleton.collectBoneFrames> Could not find bone index for node name: "Body"
ERROR: General     , 1685430398165> 1.909.540> ImportedSkeleton.collectBoneFrames> Could not find bone index for node name: "Body"
ERROR: General     , 1685430398172> 1.909.547> ImportedSkeleton.collectBoneFrames> Could not find bone index for node name: "Body"
ERROR: General     , 1685430398173> 1.909.548> ImportedSkeleton.collectBoneFrames> Could not find bone index for node name: "Body"
ERROR: General     , 1685430398176> 1.909.551> ImportedSkeleton.collectBoneFrames> Could not find bone index for node name: "Body"
ERROR: General     , 1685430398180> 1.909.555> ImportedSkeleton.collectBoneFrames> Could not find bone index for node name: "Body"
ERROR: General     , 1685430398183> 1.909.558> ImportedSkeleton.collectBoneFrames> Could not find bone index for node name: "Body"
LOG  : General     , 1685430399717> 1.911.092> LOADING ASSETS: FINISH
LOG  : Lua         , 1685430399726> 1.911.101> Loading: media/lua/shared/a_requires.lua
LOG  : Lua         , 1685430399730> 1.911.104> Loading: media/lua/shared/defines.lua
LOG  : Lua         , 1685430399730> 1.911.105> Loading: media/lua/shared/Definitions/AttachedWeaponDefinitions.lua
LOG  : Lua         , 1685430399732> 1.911.107> Loading: media/lua/shared/Definitions/ClothingRecipesDefinitions.lua
LOG  : Lua         , 1685430399733> 1.911.107> Loading: media/lua/shared/Definitions/ClothingSelectionDefinitions.lua
